word,language,lang_code,seed_word,meaning_en,category,domain,morph_type,ipa,x1_weight,x2_time,x3_space,x4_flow,x5_hardness,x6_moisture,x7_freq_hz,x8_decay,color_hex
うじうじ,JP,ja,うし,Manner or sound of うじうじ: 決断力がなく湿っぽく悩む state/manner.,Psychomime (State/Manner),Other,REDUP(畳語・同一),udʑiudʑi,5,2,1,9,4,7,180.0,2,#556B2F
うじゃうじゃ,JP,ja,うしゃ,Manner or sound of うじゃうじゃ: 小動物や虫などが無数に群がっている state/manner.,Psychomime (State/Manner),Other,REDUP(畳語・同一),udʑaudʑa,6,3,3,7,5,8,220.0,3,#8B4513
うずうず,JP,ja,うす,Manner or sound of うずうず: したいことが抑えきれず体や心が動く state/manner.,Psychomime (State/Manner),Other,REDUP(畳語・同一),uzuuzu,5,6,7,9,3,4,250.0,4,#DAA520
うっ,JP,ja,う,Manner or sound of うっ: 息や言葉が瞬間的に詰まる音・ state/manner.,Psychomime (State/Manner),Other,Q(促音単発),uʔ,7,9,9,9,1,1,300.0,9,#000000
うっかり,JP,ja,うっか,Manner or sound of うっかり: 注意が行き届かず、思わず過ちを犯す manner.,Psychomime (State/Manner),Other,COMPOUND(複合・異種),ukkaɾi,3,8,5,6,4,2,480.0,7,#FFFFFF
うっすら,JP,ja,うっすら,Manner or sound of うっすら: かすかに、薄く表れている state/manner.,Psychomime (State/Manner),Other,COMPOUND(複合・異種),ussuɾa,2,3,2,4,8,3,420.0,3,#E6E6FA
うっとり,JP,ja,うっと,Manner or sound of うっとり: 美しさや快感に見とれて我を忘れる manner.,Psychomime (State/Manner),Other,COMPOUND(複合・異種),uttoɾi,3,2,4,0,6,6,350.0,4,#DDA0DD
うつらうつら,JP,ja,うつら,Manner or sound of うつらうつら: うとうとと微睡む state/manner.,Psychomime (State/Manner),Other,REDUP(畳語・同一),utsuɾautsuɾa,2,2,2,5,7,5,280.0,4,#B0C4DE
うとうと,JP,ja,うと,Manner or sound of うとうと: 浅い眠りに落ちかける state/manner.,Psychomime (State/Manner),Other,REDUP(畳語・同一),utouto,2,2,1,6,6,4,250.0,5,#778899
うねうね,JP,ja,うね,Manner or sound of うねうね: 曲がりくねって続く state/manner.,Psychomime (State/Manner),Other,REDUP(畳語・同一),uneune,4,3,1,4,8,7,200.0,1,#556B2F
うはうは,JP,ja,うは,Manner or sound of うはうは: 思いがけない幸運に大喜びする state/manner.,Psychomime (State/Manner),Other,REDUP(畳語・同一),uhauha,3,6,5,0,9,5,450.0,3,#FFD700
うふふ,JP,ja,うふふ,Manner or sound of うふふ: 含み笑いをする声、女性などの静かな笑い。,Psychomime (State/Manner),Other,OTHER(単発),uɸuɸu,2,4,3,7,8,6,380.0,4,#FFF0F5
うようよ,JP,ja,うよ,Manner or sound of うようよ: 気味の悪い小動物などが群がって動く state/manner.,Psychomime (State/Manner),Other,REDUP(畳語・同一),ujoujo,5,3,2,6,6,8,180.0,2,#6B8E23
うらうら,JP,ja,うら,Manner or sound of うらうら: 日の光がのどかに降り注ぐ state/manner.,Psychomime (State/Manner),Other,REDUP(畳語・同一),uɾauɾa,1,2,1,2,8,4,320.0,1,#FFFACD
うろうろ,JP,ja,うろ,Manner or sound of うろうろ: 目的もなくあちこちを歩き回る state/manner.,Psychomime (State/Manner),Other,REDUP(畳語・同一),uɾouɾo,4,4,2,4,7,4,280.0,3,#A9A9A9
うろちょろ,JP,ja,うろちょろ,Manner or sound of うろちょろ: 小刻みにあちこち動き回って落ち着かない manner.,Psychomime (State/Manner),Other,COMPOUND(複合・異種),uɾotɕoɾo,3,7,6,5,6,3,480.0,5,#9ACD32
うわーん,JP,ja,うわ,Manner or sound of うわーん: 大声で泣き叫ぶ state/manner.,Psychomime (State/Manner),Other,COMPOUND(複合・異種),uwaːŋ,7,4,6,3,5,8,400.0,1,#1E90FF
うん,JP,ja,う,Manner or sound of うん: うなずく声、 or 力を込める voice/cry.,Psychomime (State/Manner),Other,N(撥音単発),uŋ,4,5,7,6,3,5,150.0,5,#808080
うんうん,JP,ja,うんう,Manner or sound of うんうん: 深く納得したり、苦しんで呻いたりする state/manner.,Psychomime (State/Manner),Other,REDUP(畳語・同一),uŋuŋ,3,4,4,5,4,6,160.0,4,#A52A2A
うんざり,JP,ja,うんさ,Manner or sound of うんざり: 飽き飽きして嫌気が差す manner.,Psychomime (State/Manner),Other,COMPOUND(複合・異種),uŋzaɾi,7,3,4,8,4,6,220.0,6,#483D8B
うーん,JP,ja,う,Manner or sound of うーん: 腕組みをして悩み呻く voice/cry.,Psychomime (State/Manner),Other,LONG+N(長音+ん),uːŋ,5,1,2,7,3,6,140.0,0,#696969
えごえご,JP,ja,えこ,Manner or sound of えごえご: 有声破裂音/ɡ/による不快な粘性と重さ。,Psychomime (State/Manner),Other,REDUP(畳語・同一),eɡoeɡo,6,4,3,6,5,7,180.0,4,#4B0082
えっさえっさ,JP,ja,えっさ,Manner or sound of えっさえっさ: 労働のTime 8。摩擦音による熱産生。,Psychomime (State/Manner),Other,REDUP(畳語・同一),essaessa,5,8,8,3,6,4,400.0,6,#FF8C00
えっさっさ,JP,ja,えっさっさ,Manner or sound of えっさっさ: 促音の連続による高い時間的・空間的密度。,Psychomime (State/Manner),Other,Q(促音単発),essassa,4,9,9,4,5,3,450.0,8,#FF4500
えっちらおっちら,JP,ja,えっちらおっちら,Manner or sound of えっちらおっちら: 重い荷物などを苦労して運ぶ state/manner.,Psychomime (State/Manner),Other,Q(促音単発),ettɕiɾaottɕiɾa,6,5,3,5,5,5,300.0,4,#CD853F
えへへ,JP,ja,えへへ,Manner or sound of えへへ: 照れ笑いやごまかしの笑い voice/cry.,Psychomime (State/Manner),Other,OTHER(単発),ehehe,2,5,3,4,9,5,420.0,3,#F0E68C
えへん,JP,ja,えへ,Manner or sound of えへん: 注意を引くための軽い咳払い。,Psychomime (State/Manner),Other,N(撥音単発),eheŋ,5,6,7,7,4,4,200.0,6,#8B0000
おいおい,JP,ja,おい,Manner or sound of おいおい: 大声で泣く声、 or 人に呼びかける voice/cry.,Psychomime (State/Manner),Other,REDUP(畳語・同一),oioi,4,4,4,3,6,7,280.0,4,#4682B4
おずおず,JP,ja,おす,Manner or sound of おずおず: 恐る恐る躊躇しながら行動する state/manner.,Psychomime (State/Manner),Other,REDUP(畳語・同一),ozuozu,4,3,1,9,3,5,200.0,5,#708090
おたおた,JP,ja,おた,Manner or sound of おたおた: 慌て惑って狼狽する state/manner.,Psychomime (State/Manner),Other,REDUP(畳語・同一),otaota,4,7,3,6,6,3,380.0,6,#BDB76B
おちおち,JP,ja,おち,Manner or sound of おちおち: 落ち着いて安心して〜できない state/manner.,Psychomime (State/Manner),Other,REDUP(畳語・同一),otɕiotɕi,3,4,4,7,6,6,400.0,5,#708090
おっとり,JP,ja,おっと,Manner or sound of おっとり: 落ち着いていて温厚・穏やかな manner.,Psychomime (State/Manner),Other,COMPOUND(複合・異種),ottoɾi,2,1,2,0,7,6,300.0,4,#FFB6C1
おどおど,JP,ja,おと,Manner or sound of おどおど: 不安や恐怖で心身が震える state/manner.,Psychomime (State/Manner),Other,REDUP(畳語・同一),odoodo,6,4,2,9,4,5,180.0,5,#556B2F
おほほ,JP,ja,おほほ,Manner or sound of おほほ: 上品な女性の高らかな笑い voice/cry.,Psychomime (State/Manner),Other,OTHER(単発),ohoho,3,5,8,4,9,4,350.0,3,#EE82EE
おぼおぼ,JP,ja,おは,Manner or sound of おぼおぼ: 意識の混濁。高いMoistureと低い周波数。,Psychomime (State/Manner),Other,REDUP(畳語・同一),oboobo,6,3,2,6,5,8,160.0,4,#4169E1
おめおめ,JP,ja,おめ,Manner or sound of おめおめ: 恥を恥とも思わず平然としている manner.,Psychomime (State/Manner),Other,REDUP(畳語・同一),omeome,5,2,2,5,4,7,240.0,2,#800000
おろおろ,JP,ja,おろ,Manner or sound of おろおろ: どうしてよいかわからず惑い動く state/manner.,Psychomime (State/Manner),Other,REDUP(畳語・同一),oɾooɾo,5,6,3,5,7,5,260.0,4,#A9A9A9
かあかあ,JP,ja,かあ,Manner or sound of かあかあ: カラスの鳴 sound.硬い喉の摩擦と高い空間直接性。,Psychomime (State/Manner),Other,REDUP(畳語・同一),kaakaa,5,4,7,2,6,2,650.0,3,#000000
かさかさ,JP,ja,かさ,Manner or sound of かさかさ: 極端な乾燥。高周波摩擦音による乱流。,Psychomime (State/Manner),Other,REDUP(畳語・同一),kasakasa,1,7,4,3,8,0,1200.0,6,#D2B48C
かさこそ,JP,ja,かさこそ,Manner or sound of かさこそ: 乾燥した小物体との接触。Reは高い。,Psychomime (State/Manner),Other,COMPOUND(複合・異種),kasakoso,1,6,3,4,8,1,900.0,5,#8B4513
かすかす,JP,ja,かす,Manner or sound of かすかす: 密度不足。完全な乾燥と空気質の流体。,Psychomime (State/Manner),Other,REDUP(畳語・同一),kasukasu,1,3,2,5,9,0,1500.0,4,#F5F5F5
かたかた,JP,ja,かた,Manner or sound of かたかた: 剛体の衝突。高い時間的突発性。,Psychomime (State/Manner),Other,REDUP(畳語・同一),katakata,3,8,7,7,1,2,500.0,7,#808080
かたり,JP,ja,かた,Manner or sound of かたり: 単発の剛体接触。弾き音による余韻。,Psychomime (State/Manner),Other,RI(り単発),kataɾi,4,7,8,5,2,3,450.0,6,#A0522D
かたん,JP,ja,かた,Manner or sound of かたん: 重量物の設置。直接的なSpace 9と高いBo数。,Psychomime (State/Manner),Other,N(撥音単発),kataŋ,5,8,9,6,2,4,300.0,7,#2F4F4F
かちかち,JP,ja,かち,Manner or sound of かちかち: 最高の剛体感。高周波かつ急峻な減衰。,Psychomime (State/Manner),Other,REDUP(畳語・同一),katɕikatɕi,4,8,8,8,0,1,1800.0,8,#C0C0C0
かちっ,JP,ja,かち,Manner or sound of かちっ: スイッチの切り替え。限界値の突発性と剛性。,Psychomime (State/Manner),Other,Q(促音単発),katɕiʔ,4,9,9,9,0,1,2000.0,9,#FFFFFF
かちゃかちゃ,JP,ja,かちゃ,Manner or sound of かちゃかちゃ: 小さな剛体の多重衝突。高いRe数。,Psychomime (State/Manner),Other,REDUP(畳語・同一),katɕakatɕa,3,8,6,5,1,2,2500.0,7,#D3D3D3
かちん,JP,ja,かち,Manner or sound of かちん: 怒りや硬質な衝突。強い抑制と圧縮性。,Psychomime (State/Manner),Other,N(撥音単発),katɕiŋ,6,8,9,9,0,2,1600.0,8,#4682B4
かちんかちん,JP,ja,かちんかち,Manner or sound of かちんかちん: 凍結した硬さ。最小のMoistureと最大のHardness。,Psychomime (State/Manner),Other,REDUP(畳語・同一),katɕiŋkatɕiŋ,7,8,8,9,0,1,1500.0,8,#E0FFFF
かっ,JP,ja,か,Manner or sound of かっ: 瞬間的な発火。高い温度感と気圧。,Psychomime (State/Manner),Other,Q(促音単発),kaʔ,7,9,9,8,3,1,800.0,9,#FF0000
かっきり,JP,ja,かっき,Manner or sound of かっきり: 境界の明確さ。Space 9の直接性と剛性。,Psychomime (State/Manner),Other,COMPOUND(複合・異種),kakkiɾi,4,8,9,7,2,2,700.0,8,#000000
かっちり,JP,ja,かっち,Manner or sound of かっちり: 適合の精度。高い抑制と剛体感。,Psychomime (State/Manner),Other,COMPOUND(複合・異種),kattɕiɾi,5,8,9,8,1,3,650.0,7,#708090
かっちんかっちん,JP,ja,かっちんかっち,Manner or sound of かっちんかっちん: 時計の針や凍結。極めて高いWeightとHardness。,Psychomime (State/Manner),Other,REDUP(畳語・同一),kattɕiŋkattɕiŋ,8,8,8,9,0,1,1400.0,8,#AFEEEE
かつかつ,JP,ja,かつ,Manner or sound of かつかつ: 靴音や余裕のなさ。硬い接触と時間的切迫。,Psychomime (State/Manner),Other,REDUP(畳語・同一),katsukatsu,5,7,7,6,2,1,600.0,7,#696969
からから,JP,ja,から,Manner or sound of からから: 空洞感。Moisture 0と流体運動。,Psychomime (State/Manner),Other,REDUP(畳語・同一),kaɾakaɾa,3,6,4,3,7,0,550.0,5,#F4A460
からころ,JP,ja,からころ,Manner or sound of からころ: 下駄などの木製剛体。適度なHardness。,Psychomime (State/Manner),Other,COMPOUND(複合・異種),kaɾakoɾo,4,6,5,4,4,1,400.0,5,#8B4513
からっと,JP,ja,からっと,Manner or sound of からっと: 湿気の除去。高い時間突発性と完全乾燥。,Psychomime (State/Manner),Other,COMPOUND(複合・異種),kaɾatto,2,8,7,4,8,0,700.0,8,#87CEEB
からり,JP,ja,から,Manner or sound of からり: 開放的な空間。低いWeightと高い流体性。,Psychomime (State/Manner),Other,RI(り単発),kaɾaɾi,2,5,5,2,9,1,600.0,5,#FFFFFF
からんからん,JP,ja,からんから,Manner or sound of からんからん: ベルのような硬質な響きと余韻。,Psychomime (State/Manner),Other,REDUP(畳語・同一),kaɾaŋkaɾaŋ,4,5,6,3,3,2,450.0,4,#B8860B
かりかり,JP,ja,かりか,Manner or sound of かりかり: 小さな破壊。高周波と乾燥。,Psychomime (State/Manner),Other,REDUP(畳語・同一),kaɾikaɾi,3,8,6,7,2,0,1500.0,8,#CD853F
かんかん,JP,ja,かんか,Manner or sound of かんかん: 高温の太陽や金属打撃。Space 9の直接性。,Psychomime (State/Manner),Other,REDUP(畳語・同一),kaŋkaŋ,6,7,9,6,1,2,900.0,5,#FF4500
かーかー,JP,ja,かーか,Manner or sound of かーかー: 持続する鳥の voice/cry.中程度の流体性とWeight。,Psychomime (State/Manner),Other,REDUP(畳語・同一),kaːkaː,5,4,6,2,6,2,600.0,1,#000000
かーん,JP,ja,か,Manner or sound of かーん: 高い空間貫通力。金属的なHardnessと持続。,Psychomime (State/Manner),Other,LONG+N(長音+ん),kaːŋ,4,3,9,2,2,3,1200.0,2,#FFD700
かーんかーん,JP,ja,かーんか,Manner or sound of かーんかーん: 鐘の sound.より強いWeightと直接性。,Psychomime (State/Manner),Other,REDUP(畳語・同一),kaːŋkaːŋ,5,4,9,3,2,3,1100.0,2,#DAA520
がくがく,JP,ja,かく,Manner or sound of がくがく: 有声破裂音/ɡ/による重い振動。関節の不連続性。,Psychomime (State/Manner),Other,REDUP(畳語・同一),ɡakuɡaku,7,7,4,8,3,4,180.0,7,#A9A9A9
がくん,JP,ja,かく,Manner or sound of がくん: 急激な落差。最大のWeightと時間突発性。,Psychomime (State/Manner),Other,N(撥音単発),ɡakuŋ,8,9,8,9,3,3,140.0,9,#000000
がさがさ,JP,ja,かさ,Manner or sound of がさがさ: 荒い摩擦。濁音によるWeightの増加と乾燥。,Psychomime (State/Manner),Other,REDUP(畳語・同一),ɡasaɡasa,5,7,4,4,6,0,400.0,6,#8B4513
がさっ,JP,ja,かさ,Manner or sound of がさっ: 藪の中の突発的な動き。高いBo数。,Psychomime (State/Manner),Other,Q(促音単発),ɡasaʔ,6,9,8,8,5,1,450.0,9,#556B2F
がしっ,JP,ja,かし,Manner or sound of がしっ: 強固な把握。高いWeightと剛体感、遮断。,Psychomime (State/Manner),Other,Q(促音単発),ɡaɕiʔ,8,9,9,9,2,2,500.0,9,#4682B4
がしゃがしゃ,JP,ja,かしゃ,Manner or sound of がしゃがしゃ: 金属や硬い破片の乱雑な衝突。高Re数。,Psychomime (State/Manner),Other,REDUP(畳語・同一),ɡaɕaɡaɕa,6,8,5,6,3,2,1200.0,7,#708090
がしゃっ,JP,ja,かしゃ,Manner or sound of がしゃっ: 破壊を伴う瞬間的衝突。最大値に近い時間性。,Psychomime (State/Manner),Other,Q(促音単発),ɡaɕaʔ,7,9,8,9,2,2,1000.0,9,#778899
がたがた,JP,ja,かた,Manner or sound of がたがた: 重い構造物の振動。低い周波数と剛体接触。,Psychomime (State/Manner),Other,REDUP(畳語・同一),ɡataɡata,7,8,6,7,2,3,220.0,7,#696969
がたっと,JP,ja,かたっと,Manner or sound of がたっと: 衝撃を伴う停止。高い重量感と圧力。,Psychomime (State/Manner),Other,COMPOUND(複合・異種),ɡatatto,8,9,8,8,2,3,200.0,9,#000000
がたぴし,JP,ja,かたひし,Manner or sound of がたぴし: 建具の歪み。摩擦音/ɕi/による高周波の混在。,Psychomime (State/Manner),Other,COMPOUND(複合・異種),ɡatapiɕi,5,6,5,7,4,2,600.0,6,#8B4513
がたり,JP,ja,かた,Manner or sound of がたり: 単発の重い衝突。余韻を伴う流体への移行。,Psychomime (State/Manner),Other,RI(り単発),ɡataɾi,6,7,7,6,3,4,250.0,6,#556B2F
がたん,JP,ja,かた,Manner or sound of がたん: 重量物の落下。強い空間直接性と気圧。,Psychomime (State/Manner),Other,N(撥音単発),ɡataŋ,8,8,9,8,2,5,180.0,7,#2F4F4F
がちがち,JP,ja,かち,Manner or sound of がちがち: 最大の硬直。震えを伴う低周波と高い抑制。,Psychomime (State/Manner),Other,REDUP(畳語・同一),ɡatɕiɡatɕi,8,8,9,9,0,1,1200.0,9,#B0E0E6
がちゃがちゃ,JP,ja,かちゃ,Manner or sound of がちゃがちゃ: 鍵などの金属 sound.複雑なRe数を示す。,Psychomime (State/Manner),Other,REDUP(畳語・同一),ɡatɕaɡatɕa,5,8,6,6,2,3,1400.0,7,#708090
がちゃん,JP,ja,かちゃ,Manner or sound of がちゃん: 結合 or 破壊。高いBo数と空間指向性。,Psychomime (State/Manner),Other,N(撥音単発),ɡatɕaŋ,7,9,9,8,1,4,800.0,8,#4682B4
がっ,JP,ja,か,Manner or sound of がっ: 全次元で最大級の衝撃。絶対的な停止。,Psychomime (State/Manner),Other,Q(促音単発),ɡaʔ,9,9,9,9,4,2,350.0,9,#000000
がっかり,JP,ja,かっか,Manner or sound of がっかり: 期待の崩壊。重いWeightと落胆のDecay。,Psychomime (State/Manner),Other,COMPOUND(複合・異種),ɡakkaɾi,7,6,4,5,6,4,300.0,7,#4B0082
がっくり,JP,ja,かっく,Manner or sound of がっくり: 急激な屈曲。さらに重いWeight。,Psychomime (State/Manner),Other,COMPOUND(複合・異種),ɡakkuɾi,8,7,3,6,5,4,200.0,8,#000000
がっしり,JP,ja,かっし,Manner or sound of がっしり: 堅牢な構造。高い直接性とFlowの抑制。,Psychomime (State/Manner),Other,COMPOUND(複合・異種),ɡaɕɕiɾi,8,5,9,9,2,3,400.0,5,#708090
がっちり,JP,ja,かっち,Manner or sound of がっちり: 緻密な噛み合わせ。高いHardnessを保持。,Psychomime (State/Manner),Other,COMPOUND(複合・異種),ɡattɕiɾi,7,6,9,9,1,3,500.0,6,#4682B4
がっぷり,JP,ja,かっふ,Manner or sound of がっぷり: 四つ相撲のような深い接触。最大のWeight。,Psychomime (State/Manner),Other,COMPOUND(複合・異種),ɡappuɾi,9,6,8,7,4,7,220.0,5,#A52A2A
がっぽり,JP,ja,かっは,Manner or sound of がっぽり: 大量の収益。豊かな流体性とMoisture。,Psychomime (State/Manner),Other,COMPOUND(複合・異種),ɡappoɾi,6,5,7,3,7,8,250.0,4,#FFD700
がつがつ,JP,ja,かつ,Manner or sound of がつがつ: 貪欲な食欲。高い時間性と直接的なSpace。,Psychomime (State/Manner),Other,REDUP(畳語・同一),ɡatsuɡatsu,7,8,8,7,3,3,400.0,7,#B22222
がつん,JP,ja,かつ,Manner or sound of がつん: 衝撃。最大のWeightとBo数。,Psychomime (State/Manner),Other,N(撥音単発),ɡatsuŋ,9,9,9,9,2,4,300.0,9,#8B0000
がばがば,JP,ja,かは,Manner or sound of がばがば: 隙間からの浸水。高い流体性とMoisture。,Psychomime (State/Manner),Other,REDUP(畳語・同一),ɡabaɡaba,5,4,3,2,8,9,150.0,3,#4169E1
がばっ,JP,ja,かは,Manner or sound of がばっ: 突然の action。高いWeightと時間的突発。,Psychomime (State/Manner),Other,Q(促音単発),ɡabaʔ,7,9,8,4,6,6,350.0,9,#FF8C00
がぶがぶ,JP,ja,かふ,Manner or sound of がぶがぶ: 飲料の大量摂取。流体力学的な渦を反映。,Psychomime (State/Manner),Other,REDUP(畳語・同一),ɡabuɡabu,6,5,4,4,8,9,180.0,4,#0000FF
がぶっ,JP,ja,かふ,Manner or sound of がぶっ: 噛み付き。高いBo数と直接性。,Psychomime (State/Manner),Other,Q(促音単発),ɡabuʔ,7,9,9,8,5,8,280.0,9,#FF4500
がぶり,JP,ja,かふ,Manner or sound of がぶり: 深い一口。流体と剛体の中間的性質。,Psychomime (State/Manner),Other,RI(り単発),ɡabuɾi,6,6,7,5,6,7,250.0,6,#8B4513
がぼがぼ,JP,ja,かは,Manner or sound of がぼがぼ: 大量の水。低周波共鳴と最大Moisture。,Psychomime (State/Manner),Other,REDUP(畳語・同一),ɡaboɡabo,6,4,2,3,9,9,120.0,2,#191970
がみがみ,JP,ja,かみ,Manner or sound of がみがみ: 執拗な叱責。高いWeightと抑制されたFlow。,Psychomime (State/Manner),Other,REDUP(畳語・同一),ɡamiɡami,7,7,8,8,4,5,450.0,4,#FF0000
がやがや,JP,ja,かや,Manner or sound of がやがや: 多人数の喧騒。高いRe数による乱流 condition/state。,Psychomime (State/Manner),Other,REDUP(畳語・同一),ɡajaɡaja,4,6,3,2,8,6,380.0,3,#DAA520
がらがら,JP,ja,から,Manner or sound of がらがら: 崩落や空虚。低い粘性と中程度のWeight。,Psychomime (State/Manner),Other,REDUP(畳語・同一),ɡaɾaɡaɾa,6,5,4,2,7,2,320.0,4,#8B4513
がらり,JP,ja,から,Manner or sound of がらり: 劇的な変化。高い流体性と空間開放性。,Psychomime (State/Manner),Other,RI(り単発),ɡaɾaɾi,4,7,7,3,9,2,450.0,6,#FFFFFF
がらん,JP,ja,から,Manner or sound of がらん: 広い空洞. 低いWeightと高い指向性。,Psychomime (State/Manner),Other,N(撥音単発),ɡaɾaŋ,3,4,8,2,7,3,280.0,5,#D3D3D3
がりがり,JP,ja,かりか,Manner or sound of がりがり: 激しい摩擦。硬い表面の削り。,Psychomime (State/Manner),Other,REDUP(畳語・同一),ɡaɾiɡaɾi,5,8,7,8,2,0,800.0,8,#CD853F
がんがん,JP,ja,かんか,Manner or sound of がんがん: 頭痛や強打。最大のWeightと直接性。,Psychomime (State/Manner),Other,REDUP(畳語・同一),ɡaŋɡaŋ,8,8,9,6,1,3,350.0,5,#FF4500
がーがー,JP,ja,かーか,Manner or sound of がーがー: 騒々しい持続 sound.高いWeightと低いDecay。,Psychomime (State/Manner),Other,REDUP(畳語・同一),ɡaːɡaː,7,3,5,3,6,4,220.0,1,#556B2F
がーっ,JP,ja,か,Manner or sound of がーっ: 激しい突進や咆哮。高い圧縮性と圧力。,Psychomime (State/Manner),Other,LONG(長音ー),ɡaːʔ,8,6,9,7,5,4,350.0,9,#FF0000
がーん,JP,ja,か,Manner or sound of がーん: 衝撃の余韻。最大のWeightと空間直接性。,Psychomime (State/Manner),Other,LONG+N(長音+ん),ɡaːŋ,9,4,9,5,3,5,200.0,2,#483D8B
きいきい,JP,ja,きい,Manner or sound of きいきい: 高周波摩擦。高い空間直接性と抑制。,Psychomime (State/Manner),Other,REDUP(畳語・同一),kiikii,2,4,7,8,4,1,2500.0,2,#FFFF00
きしきし,JP,ja,きし,Manner or sound of きしきし: 狭い隙間の摩擦。最大のFlow抑制。,Psychomime (State/Manner),Other,REDUP(畳語・同一),kiɕikiɕi,3,7,5,9,3,2,1800.0,7,#BDB76B
きそきそ,JP,ja,きそ,Manner or sound of きそきそ: ひそやかな摩擦。低いWeightと高い抑制。,Psychomime (State/Manner),Other,REDUP(畳語・同一),kisokiso,1,5,2,8,6,2,1200.0,4,#708090
きちきち,JP,ja,きち,Manner or sound of きちきち: 隙間のない condition/state。高い直接性とFlow 9。,Psychomime (State/Manner),Other,REDUP(畳語・同一),kitɕikitɕi,4,7,8,9,2,2,1400.0,8,#C0C0C0
きちっ,JP,ja,きち,Manner or sound of きちっ: 正確な完了。最大の時間性と直接性。,Psychomime (State/Manner),Other,Q(促音単発),kitɕiʔ,3,9,9,9,1,2,1600.0,9,#FFFFFF
